track_name,track_artist,popularity,track_name,track_artist,energy,valence,acousticness,instrumentalness,speechiness,lyrics
chẳng phải tình đầu sao đau đến thế,"MIN, Dangrangto & antransax",71,"MIN, Dangrangto & antransax",0.58524644,0.41221526,0.3090643,0.0064538,0.06642521,"Chẳng phải tình đầu sao đau đến thế? Tại sao vẫn yêu si mê? Tại sao trái tim vẫn ngô nghê Vẫn dành trọn lòng mình như thế? Phải chăng là vì lá rơi? Phải chăng là vì trái tim yêu rơi vào người? Phải chăng là vì mưa rơi Tình cảm này hoá biển khơi? Nếu có lúc chúng ta Đau nhói vì quá thiết tha Lúc ấy mới biết ra, đã yêu quá nhiều Tình yêu là một bài học lớn Đâu phải là ta cứ yêu hơn Là sẽ bên nhau hoài, là sẽ yên tâm hoài, là sẽ không ai rời đi Tình yêu đâu có đúng sai Làm sao có thể trách ai? Vốn dĩ chẳng có ai bên mình được mãi Chẳng qua là vì ngày hôm đó Trời mưa phùn rơi, gió đông về Làm trái tim rung động Falling into you Chẳng phải tình đầu sao đau đến thế? Tại sao vẫn yêu si mê? Tại sao trái tim vẫn ngô nghê Vẫn dành trọn lòng mình như thế? Phải chăng là vì lá rơi? Phải chăng là vì trái tim yêu rơi vào người? Phải chăng là vì mưa rơi Tình cảm này hoá biển khơi Chẳng phải tình đầu sao đau đến thế? Chỉ một tin nhắn vang lặng lẽ Từ giờ phải sống tốt nhé, em à Đường phải đi còn dài và xa Cảm ơn vì mình đã yêu Và yêu đến khi không thể yêu tiếp được nữa Cám ơn vì đã dám buông tay Không níu giữ giấc mộng này (Lả Lướt) Chia tay cũng đâu phải là lần đầu mà sao không quen? Đêm đen chỉ còn vài ngọn đèn mà lòng bon chen Ta đã có chặng đường thật đẹp mà phải không em? Dù chẳng thể quên ngay bao vấn vương Kệ dòng lệ tuôn, hôm nay phải buông thật rồi Đâu ai hay sau ánh mắt dịu dàng là toàn thương đau Buông câu chia tay nhẹ nhàng mình dành cho nhau Thất hứa vì chẳng thể gọi nàng là cô dâu Mà sao vết cứa lại càng đâm sâu hơn tình đầu? Thà vụt tan như mây (thà rằng ta vụt tan như mây) Bàn tay anh chẳng thể ôm lấy (chẳng thể níu lấy) Thời gian làm nhoè đi hết Những rung động ngày hôm ấy, bên nhau Anh biết, không cố níu giữ em giờ thì suốt đời sẽ đánh mất Vì ôm bao hoài bão nên thôi đành phải cất em về kí ức Chẳng phải tình đầu sao đau đến thế? Tại sao vẫn yêu si mê? Tại sao trái tim vẫn ngô nghê Vẫn dành trọn lòng mình như thế? Phải chăng là vì lá rơi? Phải chăng là vì trái tim yêu rơi vào người? Phải chăng là vì mưa rơi Tình cảm này hoá biển khơi Chẳng phải tình đầu sao đau đến thế? Chỉ một tin nhắn vang lặng lẽ Từ giờ phải sống tốt nhé, em à Đường phải đi còn dài và xa Cảm ơn vì mình đã yêu Và yêu đến khi không thể yêu tiếp được nữa Cám ơn vì đã dám buông tay Không níu giữ giấc mộng này Tình đầu lúc không thành có đau như vậy?"
Dạo Này,Obito,65,Obito,0.727413,0.4231549,0.1155371,0.065674834,0.09383192,"Dạo này em thế nào? Có hay thức khuya viết tâm tư mỗi đêm? Có ướt đôi mi, sợ mẹ thấy nên lau đi? Anh muốn biết em ra sao Dạo này em thế nào? Có hay vu vơ những giấc mơ khi nắng lên? Có hay dọn nhà cùng điệu nhạc Giáng Sinh khi chiều tà? Anh nhớ những thói quen Mai vẫn lộng bay giữa ánh sáng trong màn đêm Bản tình ca em cất lên nghe dịu êm Viết cho em và viết cho đôi ta Viết cho những câu chuyện khi xưa giờ đã qua Là bao nhiêu lầm lỡ Người ơi anh vẫn nhớ Dáng môi em cười, hạnh phúc kia đang vơi Thế nên anh giờ chỉ được nói như này thôi Dạo này em sao? Mà sao nơi từng mơ anh tìm kiếm Gió đông lướt qua nhưng vẫn chưa quên ngày mất em Chỉ anh lôi thôi một mình trong muộn màng hơn Để mỗi ngày lại càng cô đơn Dạo này anh vẫn vậy Vẫn giấu đi những lo âu, những muộn phiền một mình anh Vẫn hay tự trách, vẫn chạy theo những mộng mơ của đời anh Rồi lại nhìn về khi đôi chúng ta không thành Mai vẫn lộng bay giữa ánh sáng trong màn đêm Bản tình ca em cất lên nghe dịu êm Viết cho em và viết cho đôi ta Viết cho những câu chuyện khi xưa giờ đã qua Là bao nhiêu lầm lỡ Người ơi anh vẫn nhớ Dáng môi em cười, hạnh phúc kia đang vơi Thế nên anh giờ chỉ được nói như này thôi Dạo này em sao? Thời gian trôi đi trên cung đường quen Bỏ lại bao khúc hát khi xưa anh ghi tặng em Viết cho em và cho đôi ta Viết cho những câu chuyện khi xưa giờ đã qua Rồi mãi xa"
Vừa Tìm Thấy Đã Đánh Mất,Wren Evans & itsnk,57,Wren Evans & itsnk,0.4084271,0.31445906,0.64258283,0.24363357,0.06237462,"Ngày mà em tới Tia nắng vẫn nhẹ thế thôi Nhưng khóe môi em sưởi ấm tim tôi Chợt yêu mất rồi Chợt ôm những nhớ thương mong manh ngày em tới, uh-huh-huh Thì ra trăng tròn thế thôi Soi sáng câu hẹn thề ước chung đôi Mà chẳng ai cất lời, bỏ lại đằng sau nhưng mông lung Vào đêm cuối, nhìn em rời Dìu nàng về gần nhà, đến đây thôi Và nếu lúc đó ta không ngại, không ngơ ngác, lăn tăn, thờ ơ Sao ta vẫn còn ngây thơ? Vừa tìm thấy đã đánh mất Mơ một chốc đã thức giấc Tiếng yêu thương nay không cất lên thành câu Có em một phút nhưng lại lỡ em cả đời Bóng em thả trôi để dòng người thành hư vô Vừa tìm thấy đã đánh mất Chưa kịp trao em tâm tư Nắm tay em nhưng có giữ em được đâu Vấn vương còn đó nhưng chẳng có câu trả lời Thì vậy thôi, ta cứ thế, mình đành chơi vơi Tựa như ta chưa bắt đầu Nắng vẫn long lanh bên hiên nhà anh Mây vẫn trôi bồng bềnh giống bao ngày Mà sao thế này? Thấy đôi tay mình thêm nâng niu những niềm vui mơ hồ Mới ngay đây thôi nhưng sao lại thôi? Sao áng mây mang vệt nắng đi rồi? Bỏ rơi mối tình, lửng lơ những bối rối ngây ngô Vào đêm cuối (vào đêm cuối), nhìn em rời Dìu nàng về gần nhà, đến đây thôi Và nếu biết trước mai không còn Anh sẽ đứng ôm em thật lâu, hôn thật sâu (nếu em tin vào những thứ vớ vẩn) Để khóa lấy những thứ thuộc về nhau Vừa tìm thấy đã đánh mất Mơ một chốc đã thức giấc Tiếng yêu thương nay không cất lên thành câu Có em một phút nhưng đã lỡ em cả đời Bóng em thả trôi để dòng người thành hư vô Vừa tìm thấy đã đánh mất Chưa kịp trao em tâm tư Nắm tay em nhưng có giữ em được đâu Chúng ta vừa hữu duyên mà trót vô phận rồi Thì vậy thôi, ta cứ thế, mình đành chia đôi"
The Fate of Ophelia,Taylor Swift,100,Taylor Swift,0.6108957,0.48400408,0.2311785,0.012839234,0.09842807,"作词 : Taylor Swift/Max Martin/Shellback 作曲 : Taylor Swift/Max Martin/Shellback I heard you calling on the megaphone You wanna see me all alone As legend has it, you Are quite the pyro You light the match to watch it blow And if you'd never come for me I might've drowned in the melancholy I swore my loyalty to me, myself, and I (Me, myself, I) Right before you lit my sky up All that time, I sat alone in my tower You were just honing your powers Now I can see it all (See it all) Late one night, you dug me out of my grave and Saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred On the land, the sea, the sky (Land, sea) Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been (Been) 'Cause now, you're mine (Now) It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia The eldest daughter of a nobleman Ophelia lived in fantasy But love was a cold bed full of scorpions The venom stole her sanity And if you'd never come for me (Come for me) I might've lingered in purgatory You wrap around me like a chain, a crown, a vine (Chain, crown, vine) Pulling me into the fire All that time, I sat alone in my tower You were just honing your powers Now I can see it all (See it all) Late one night, you dug me out of my grave and Saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred On the land, the sea, the sky (Land, sea) Pledge allegiance to your hands Your team, your vibes Don't care where the hell you been (Been) 'Cause now, you're mine (Now) It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia 'Tis locked inside my memory And only you possess the key No longer drowning and deceived All because you came for me Locked inside my memory And only you possess the key No longer drowning and deceived All because you came for me All that time, I sat alone in my tower You were just honing your powers Now I can see it all (I can see it all) Late one night, you dug me out of my grave and Saved my heart from the fate of Ophelia Keep it one hundred On the land, the sea, the sky (Land, the sea) Pledge allegiance to your hands (Your hands) Your team, your vibes Don't care where the hell you been (Been) 'Cause now, you're mine ('Cause now) It's 'bout to be the sleepless night You've been dreaming of The fate of Ophelia You saved my heart from the fate of Ophelia"
In Love,Low G & JustaTee,71,Low G & JustaTee,0.59509856,0.41007283,0.2834998,0.11572136,0.10408642,"Nơi anh bao năm không có nắng Và mưa giăng nơi em đôi khi cũng chưa từng muốn ngừng Mà đi bao xa ta vẫn thấy ngắn Vì nơi đâu cũng là nhà Anh băng qua bao la con sóng trắng Niềm tin mong manh cũng chỉ biết giăng buồm thật căng Để mà lênh đênh trôi mang theo bao cố gắng Dù mưa gió có lỡ xô anh đi xa bến bờ Vì ngày đó anh chẳng cần biết điều gì đến Cũng chẳng thể viết vội đoạn kết Khi còn chưa đi hết những xước chai, những đúng sai Và ngoài đó hoang tàn giằng xé Thì ở đây vẫn có điều nhỏ bé Mà lặng lẽ vun xây những mơ mộng này Để hôm nay khi đứng đây, em chính là điều nhỏ bé ở bên bờ (I'm in love, I'm in love, in love with you) ooh, my love (I'm in love, I'm in love, in love with you) nơi ấy em chờ (I'm in love, I'm in love, in love with you) ở bên bờ, ở bên bờ cùng mong nhớ (I'm in love, I'm in love, in love with you) ooh, my love (I'm in love, I'm in love, in love with you) nơi ấy em chờ (I'm in love, I'm in love, in love with you) Em vẫn luôn rạng rỡ, gom từng thương nhớ nơi bến bờ Yeah, nhiều cô gái không hiểu được anh Và có nhiều mối quan hệ ngày xưa cũng tự kết thúc vì nó Anh là kiểu người mà nếu muốn đùa cợt thì nhanh Nhưng để ngồi xuống nói chuyện mở lòng thực sự thì khó Chắc là anh không giỏi chuyện đó, anh vô thức giấu hết đi Anh vô thức giấu hết đi vào trong hố đen những luồng suy nghĩ Và em là người đầu tiên dạy anh nghĩ gì phải nói ra Nhưng nhiều lúc nói tự nhiên cổ họng của anh bị nghẹn và Não không nghĩ được gì cả, cảm giác đấy khá kì lạ Cảm giác như không sắp xếp được đúng suy nghĩ để cho mình tả Lớn lên anh nhận ra mở lòng là kĩ năng Anh nghĩ EQ anh chưa cao và anh chưa thực sự chín chắn, ah Đôi nào chả có cãi vã khi căng thẳng tăng dần lên Sẽ có những chủ đề thực sự nhạy cảm nếu như đề cập đến Nhưng cho đến cuối em vẫn bình tĩnh nghe anh (nghe) Nói với anh rằng nếu từ đầu anh cho em biết thì mưa giông trong đầu anh sẽ tạnh thôi Ngày trôi, đầu anh trở nên thảnh thơi Anh thấy hạnh phúc khi ở cùng em nhìn mưa bên ngoài rơi Anh chưa bao giờ cảm thấy an toàn và yên tâm như thế Và mình có thể nói chuyện hàng giờ về chỉ một chủ đề You're the only girl showing me the way to love Only one I trust, ain't afraid to tell the world Many things to learn, anh không cần gì hơn Ngoài thấy em ở bên cạnh anh khi anh mở mắt dậy vào sáng sớm, ah Ooh, my love (I'm in love, I'm in love, in love with you) Ooh, my love (yeah) (I'm in love, I'm in love, in love with you) Nơi ấy em chờ (I'm in love, I'm in love, in love with you) (this song's for you) Ở bên bờ, ở bên bờ cùng mong nhớ (ah, ah, ah, ah) (I'm in love, I'm in love, in love with you) ooh, my love (I'm in love, I'm in love, in love with you) nơi ấy em chờ (I'm in love, I'm in love, in love with you) yeah Em vẫn luôn rạng rỡ, gom từng thương nhớ nơi bến bờ (yeah, yeah, yeah, yeah) (I'm in love, I'm in love, in love with you) I'm in love with you (I'm in love, I'm in love) in love with you, in love (I'm in love, I'm in love, in love with you) (I'm in love, I'm in love, in love with you) I'm in love with you (hah) My love ở bên bờ (Low G) (I'm in love, I'm in love, in love with you) Bên bờ có em chờ (and JustaTee) (I'm in love, I'm in love, in love with you) Ooh-ooh-ooh (2025) (I'm in love, I'm in love, in love with you) I'm in love with you, with you, with you"
Thu Đợi,Wren Evans,58,Wren Evans,0.656597,0.62835103,0.2667327,0.07093637,0.16325542,"Thu đã qua, anh ở lại Cố quên nhưng lòng càng nhớ thêm Ta đã từng mơ rất nhiều Nếu em còn tìm anh trong giấc mơ Lần chia ly trong đêm vội vã Anh chưa quen được với nỗi đau Hàng trăm cây kim đâm nát con tim, anh tổn thương Ngày em đi cơn mưa tầm tã Sao anh quên được hết Lời em bóng gió cuộn lên như bão giông Lần này em đi mất rồi, đi không khứ hồi, rời xa chốn đây Lặng nhìn em vút qua tay, cùng gió heo may, mang đi một ngàn hơi ấm Giờ chẳng có thu nào đợi, lá rơi chỉ một lần thôi Còn anh nhớ em một đời, chẳng thể giữ lời Thu đã qua, tay bỗng lạnh Cố quên nhưng lòng càng rối ren Trăm lý do mình nói ra chỉ để người vứt bỏ Có khi nào mình anh mang xuyến xao? Lần chia ly trong đêm vội vã Anh chưa quen được với nỗi đau Hàng trăm cây kim đâm nát con tim, anh tổn thương Ngày em đi cơn mưa tầm tã Sao anh quên được hết Lời em bóng gió cuộn lên như bão giông Lần này em đi mất rồi, đi không khứ hồi, rời xa chốn đây Lặng nhìn em vút qua tay, cùng gió heo may, mang đi một ngàn hơi ấm Giờ chẳng có thu nào đợi, lá rơi chỉ một lần thôi Còn anh nhớ em một đời, chẳng thể giữ lời Riêng mình anh ở đây chơi với nỗi đau này Làm ơn nói em cũng tổn thương, cũng giống như anh mà Để anh tin rằng em đã từng yêu với hết chân thành Chỉ là do mùa thu tự nhiên muốn lấy em đi Xa khỏi tầm tay này mãi Lặng nhìn em vút qua tay, cùng gió heo may, mang đi một ngàn hơi ấm Giờ chẳng có thu nào đợi, lá rơi chỉ một lần thôi Còn anh nhớ em một đời, chẳng thể giữ lời Em rơi như mùa thu cuối trong anh đông về Ai dạy anh cách quên? Ai dạy anh đứng lên? Em rút ra khỏi anh giống như là nắng bỏ trời đi mất Vậy ai sẽ thương anh, nhớ anh khi anh chỉ biết nhớ thương mỗi em?"
Ai Ngoài Anh,VSTRA & Tyronee,55,VSTRA & Tyronee,0.5669772,0.4244452,0.51335204,0.073219046,0.09064868,"Em mong anh chưa ngủ dậy Còn đang loay hoay giờ này Từ ngữ không sao tả được cảm xúc của em lúc này Là em bối rối, sợ mình nóng vội Em đang ngăn tay mình, không cho nói rằng lỡ thích anh mất rồi Lại phải viết những lời ngọt ngào Phải cầm cố chữ thương Lại phải ngước mắt lên bầu trời mong cho em không yêu lầm người Không phải lựa chọn tồi Em xin, em xin mà, nếu không, nếu không Em biết làm gì đây? Không yêu ai khác ngoài anh! Say mê ai ngoài anh! Thơm lên đôi mắt của anh! Chỉ thích anh, và anh, anh và anh, mỗi mình anh (yeah) Không yêu ai khác ngoài anh! Say mê ai ngoài anh! Thơm lên tất cả của anh! Chỉ thích em là của anh (yeah) Em đã tự cất giấu trái tim này Để không một ai có thể với tới Chẳng làm nắng vì sợ mây sẽ hoá mưa rào Sự quan tâm, chăm sóc, yêu thương anh dành cho em nhiều nhường nào Để khiến em phải ngóng trông từ bao giờ Em đã viết những lời ngọt ngào Trao tặng anh chữ thương Vẫn phải ngước mắt lên bầu trời, mong cho ta bên nhau cả đời Cho em câu trả lời Em xin, em xin mà, nếu không, nếu không Hmmmm... Không yêu ai khác ngoài anh! Say mê ai ngoài anh! Thơm lên đôi mắt của anh! Chỉ thích anh, và anh, anh và anh, mỗi mình anh (yeah) Không yêu ai khác ngoài anh! Say mê ai ngoài anh! Thơm lên tất cả của anh! Chỉ thích em là của anh (yeah) Ooh Baby Baby Ooh Baby Baby Ooh Baby Baby Ooh Baby Baby Ooh Baby Baby Ooh Baby Baby Chỉ thích em là của anh mà Không yêu ai khác ngoài anh! Say mê ai ngoài anh! Thơm lên đôi mắt của anh! Chỉ thích anh, và anh, anh và anh, mỗi mình anh Không yêu ai khác ngoài anh! Say mê ai ngoài anh! Và thơm lên tất cả của anh! Chỉ thích em là của anh mà"
CHỜ ANH VỀ,"ANH TRAI ""SAY HI"", B Ray & AMEE",68,"ANH TRAI ""SAY HI"", B Ray & AMEE",0.5052275,0.4603568,0.41265774,0.048926845,0.12174711,"Anh à I just really wanna tell you something Can you... Em chờ anh về đã bao lâu nay Tìm anh về ở trong cơn say Chờ người lúc đi đã biết sẽ không thể trở về Mặc dù là thế nhưng trong tim vẫn không thể thay thế Em chờ anh về đã quá nhiều ngày (quá nhiều, baby) Tìm anh về ở những cơn say (oh you) Một người lúc đi đã biết sẽ không thể trở về (không thể trở về) Mặc dù là thế nhưng trong tim vẫn không thể thay thế Baby, I know, anh đang kiếm đường về Anh sẽ không quên lời anh đã từng thề Ở nơi em anh mới kiếm được bình yên Ánh đèn hào quang đôi lúc khiến cho mình điên Thành phố này không ngủ, anh cũng vậy Ngã bao nhiêu lần anh cũng bật dậy (let's go) Anh vẫn là anh, chưa một phút nào ngừng cháy Chắp cánh ước mơ nhưng sự thật lại biết bay Quá khôn để có thể là con mồi Không đủ nhẫn tâm để mà đi theo bầy sói (underdog) Cứ mỗi bước chân là mỗi con đường mới Nhưng mọi đường đi, em là đích để về tới Họ nói anh ngoài kia là người rap không thuộc lời Vì khi diễn cho họ xem, đầu anh chỉ nghĩ về em (về em) Tới người đã thương, đã chờ, đã đợi Ngày anh về, nó sẽ sớm thôi em ơi Em chờ anh về đã bao lâu nay Tìm anh về ở trong cơn say Chờ người lúc đi đã biết sẽ không thể trở về Mặc dù là thế nhưng trong tim vẫn không thể thay thế Em chờ anh về đã quá nhiều ngày (quá nhiều, baby) Tìm anh về ở những cơn say (oh you) Một người lúc đi đã biết sẽ không thể trở về (không thể trở về) Mặc dù là thế nhưng trong tim vẫn không thể thay thế (ah-ah-ah-ah-ah) Anh phải lớn thật nhanh khi con tim mang hiềm khích Lá gan to nên anh luôn liều lĩnh Lớn lên do làm những gì mình thích Mà chẳng hiểu sao anh vẫn luôn về đích Anh rót champagne chỉ để xóa phiền lo Trái tim dù có khối người cho Mỗi khi cô đơn, anh lại thấy giằng co Vì dù thắng hay thua, em vẫn chẳng ở đó Anh chỉ lo sao cho cái túi mình đầy Young rap star with the 808s Anh đến anh đi, không thể cố định ngày Do anh không quen dùng lời nói trình bày I'm a rolling stone, a shooting stars Chẳng hiểu sao anh là underdog Lời hứa khi xưa anh vẫn luôn cất giữ 'Cause baby, it's always you Mình em nơi đây, chờ anh mau quay trở về Chờ anh không hay biết là anh có nhớ hay quên Mỗi khi về đêm, đoạn nhạc đó vang lên It sounds like love, but feels like pain Em luôn luôn tin mọi thứ anh xây Luôn luôn biết anh sẽ về đây Trao anh con tim, chẳng chút lung lay Cứ như anh vẫn ở đây You're always on my mind Could you hit me up 'cause I'm trying to fight time? Every call's a flashback vibe And every silence feels alive You're always on my mind Still I press play and try rewindin' Em chờ anh về đã quá nhiều ngày (quá nhiều, baby) Tìm anh về ở những cơn say (oh you) Một người lúc đi đã biết sẽ không thể trở về (không thể trở về) Mặc dù là thế nhưng trong tim vẫn không thể thay thế (ah-ah-ah-ah-ah)"
Không Buông,Hngle & Ari,73,Hngle & Ari,0.6022635,0.53860044,0.29248747,0.08282109,0.13712826,"Anh nhớ từng phút yên bình tay nắm tay Nhớ khoảnh khắc đôi mình còn đắm say Chỉ vừa như mới hôm nào Mà sao giờ lại xa quá? (Sao rời xa quá?) Anh vẫn nhớ khi trời vừa nhá nhem Qua đón em dạo cùng phố đêm Giờ thì không còn nữa Cô đơn thân với anh thêm Anh cố để chi vậy rồi cũng ra như này Cứ vun mối tình mặc tấm thân hao gầy Liệu có phút giây nào người xót anh không vậy? Mọi thứ chỉ để anh gánh lấy Chẳng phút giây nào anh hết yêu em Mỗi lần ướt mi hoen là do anh nhớ em thêm Tại sao lại nói yêu anh mà lại để mi anh ướt nhèm? Em cũng có nỗi niềm của riêng mình Em xin lỗi đã bỏ anh một mình Sau bao tháng năm ta cùng chung đường Giờ hai đứa hai nơi Đoạn cảm xúc tưởng như là lâu dài Nhưng lại kết thúc bất ngờ vì hiểu lầm Em trách sao lúc đó mình không vì nhau mà cố Em vẫn còn nhớ những lần mình đã hứa hẹn Cùng nhau mãi mãi chẳng rời xa Và môi hôn vẫn để lại đó bao ngọt ngào xưa Giờ thì đã quá trễ rồi Vì phút bốc đồng mà đôi ta chẳng thể nào cạnh bên Hỏi em còn yêu không, em trả lời là không còn Nhưng đó chỉ là dối lòng Anh cố để chi vậy rồi cũng ra như này Cứ vun mối tình mặc tấm thân hao gầy Liệu có phút giây nào người xót anh không vậy? Mọi thứ chỉ để anh gánh lấy Chẳng phút giây nào anh hết yêu em Mỗi lần ướt mi hoen là do anh nhớ em thêm Tại sao lại nói yêu anh mà lại để mi anh ướt nhèm? Thật ra anh biết từ đầu rồi, bae Rằng lời yêu đó chỉ là gió bay Giờ tim vỡ nát như này Do anh cố chấp nên vậy Mong em hạnh phúc đi bên người ta Phần anh sẽ cố gắng để vượt qua Đến đây thôi em à Đến lúc ta phải chia xa"
SỚM MUỘN THÌ,"ANH TRAI ""SAY HI"", Hustlang Robber, Nhâm Phương Nam, Mason nguyen, Jaysonlei, Khoi Vu & LAMOON",68,"ANH TRAI ""SAY HI"", Hustlang Robber, Nhâm Phương Nam, Mason nguyen, Jaysonlei, Khoi Vu & LAMOON",0.6783622,0.6340187,0.16128117,0.05450015,0.18234679,"Baby à Anh biết là sớm muộn gì thì mình cũng sẽ quay trở về bên nhau mà phải hông? Những lời hứa mà mình từng nói với nhau trong từng đêm thâu Những giọt nước mắt, sự buồn tủi, niềm vui và nỗi buồn Nhưng mà em yên tâm, thuyền của anh sẽ quay trở về đất liền một ngày không xa Ayo, Robber anh tới rồi nà Và anh vẫn sẽ luôn yêu em, luôn thương em Mặc kệ ngoài kia biển lớn đang âm u, bao mây đen Anh vẫn sẽ chờ em phía xa nơi này Cùng một ngàn vì sao vẫn đang ở đây Và anh vẫn sẽ luôn yêu em, luôn thương em Mặc cho màn đêm lạnh giá vẫn cứ thế đang vây quanh Anh vẫn sẽ chờ em phía xa nơi này Và dù cho là sớm muộn thì chúng mình về bên nhau Mm, bước đôi chân này lên tàu và Yeah, ich vermisse dich auch Ooh, anh cũng chẳng hề mong cầu gì Chỉ nghe theo tiếng nói ở trong đầu Rằng là biển này mặn chát Gió bay qua từng lời hát Ngón tay đi tìm bờ cát ở nơi phương xa Tìm về vùng đất của riêng hai ta Baby, em có tin là sau cơn mưa là trời lại sáng? Cảm xúc anh là kho báu, niềm hy vọng đó là hành trang Anh không cần sự giàu sang, không mong rời xa nàng vội vàng Anh không cần vườn địa đàng, chỉ mong được quay về bình an Thân trai mang nhiều chí lớn, anh phải bôn ba tìm lời giải đáp Thứ cản chân là suy nghĩ, việc lên đường chính là giải pháp Anh biết em nhiều lo lắng, hỏi anh liệu có dừng được không? Anh lao thẳng vào tâm bão để tâm hồn anh được hừng đông Sớm muộn thì mình cũng về bên nhau Nhớ những gì mình đã thề từng đêm thâu Nhớ những vui buồn, nắm đôi tay không buông Vì sớm mai thuyền anh cũng sẽ trở về đất liền Sớm muộn thì Thuyền vượt qua bao cơn mưa, tìm về bình yên như khi xưa Còn gì thì tới luôn đi Là bởi vì em, anh sẽ thoát khỏi vòng xoay Của cơn mộng mị Just a fantasy Và anh tin là sớm muộn thì, sớm muộn thì, sớm muộn thì Chúng ta lại về bên nhau Ra khơi, đi về nơi nào xa xôi Sóng to bão lớn cũng đến lúc phải qua thôi Không một ai ngoài anh để cho anh thêm câu trả lời Hành trình anh là cả đời để theo đuổi những vì sao rơi Phiêu bạt trên đại dương qua nhiều đêm thật hiu quạnh, yeah Ngâm mình trong làn sương, anh đã quen với giá lạnh, yeah Giăng buồm cao thật cao, đi theo những vì sao Đến một ngày nào đấy anh sẽ trở về ở bên cạnh, yeah Sớm muộn thì (sớm muộn thì) Thuyền vượt qua bao cơn mưa, tìm về bình yên như khi xưa Còn gì thì tới luôn đi Là bởi vì em, anh sẽ thoát khỏi vòng xoay Của cơn mộng mị (cơn mộng mị) Just a fantasy Và anh tin là sớm muộn thì (ah), sớm muộn thì (ah), sớm muộn thì Chúng ta lại về bên nhau Phi qua dãy tháng năm, quanh em những thăng trầm Cuộc đời vạn biến trong tầm mắt Nơi anh đến giong buồm, tay em sẽ không buông Kệ trời giông bão luôn vốn nghiêm khắc Dập tan đi điều gì đôi vai ngậm ngùi chia xa Gần người hằng mong, chẳng cần xa hoa We will hold tight all the stars tonight Then put them in our dreams Anh sẽ trở về thật nhanh, baby đừng lo gì Có sóng gió và bầu trời xanh, không hề lonely Nếu lần cuối nhìn vào mặt anh, hãy đừng ướt mi Anh sẽ không để sự chờ đợi của em bị hoang phí Baby, em có biết là sớm muộn thì, sớm muộn thì Những cơn sóng ngoài xa nó kéo anh đi, kéo lấy anh đi Một lý do khiến cho anh sẽ ra đi, c'est la vie Và đây là lúc trong lòng anh đang dậy sóng Baby hỏi khi nào về Anh tung ngay đồng xu Chỉ là 50-50, anh biết thế thôi Nên anh sẽ phải chiến thắng (uh), dù nếm cay đắng (uh) Bay lên cao vút, mang cả nắng về Để thắp sáng trái tim, mặc cho đời nhấn chìm Tình yêu này ngoi lên như vì sao băng trong đêm Sao băng trong đêm Anh em ơi! Hãy cố lên một chút nữa thôi, đất liền ở kia rồi Tôi tin là sau đêm nay tất cả chúng ta đều sẽ về bờ được an toàn thôi! Everybody say with me Anh Trai ""Say Hi""! Sớm muộn thì Thuyền vượt qua bao cơn mưa, tìm lại bình yên như khi xưa Còn gì thì tới luôn đi Anh sẽ vì em mà anh thoát khỏi vòng xoay Của cơn mộng mị Just a fantasy Và anh tin là sớm muộn thì, sớm muộn thì Sớm muộn thì, ah Sớm muộn thì Thuyền vượt qua bao cơn mưa, tìm lại bình yên như khi xưa Còn gì thì tới luôn đi Anh sẽ vì em mà anh thoát khỏi vòng xoay Của cơn mộng mị, yeah (của cơn mộng mị) Just a fantasy, yeah Và anh tin là sớm muộn thì, sớm muộn thì, sớm muộn thì Chúng ta lại về bên nhau Hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, whoa, whoa, whoa, whoa Say hey, hey, hey, hey! Hey, hey, hey, hey! Say hey, hey, hey, hey! Hey, hey, hey, hey! Say hey, hey, hey, hey! Hey, hey, hey, hey! Say hey, hey, hey, hey! (Oh) Whoo"
